st_address,city,price,zestimate,description,housetype,yearbuilt,heating,cooling,parking,hoa,daysonzillow,pricepersqft,numberofsaves,is_forsale,masterbedlevel,thirdbedlevel,fourthbedlevel,buildingexterior
1404 Cornerstone Pl,"Schaumburg, IL 60193","$359,900",:,"BUILDER CLOSE OUT! HOME IS FINISHED AND READY FOR A QUICK CLOSING. A LUXURY TWO STORY TOWN HOME WITH THREE BEDROOMS, TWO AND ONE HALF BATHS, FULL BASEMENT, TWO CAR GARAGE AND CENTRAL AIR CONDITIONING. THE COLUMBIA FEATURES A MASTER BEDROOM SUITE WITH WALK IN CLOSET, PRIVATE BALCONY, AND A MASTER BATH WITH SEPARATE TUB AND SHOWER. AN IMPRESSIVE TWO STORY ENTRY FOYER OPENS INTO THE SPACIOUS LIVING AND DINING ROOM AREAS. THE NINE FOOT CEILINGS ON THE FIRST FLOOR ADD TO THE SPACIOUS FEELING OF THIS HOME. A SEPARTE LAUNDRY ROOM IS CONVEIENTLY LOCATED ON THE FIRST FLOOR. THE KITCHEN IS EQUIPPED WITH A QUALITY WHIRLPOOL GAS RANGE AND DISHWASHER. IT ALSO FEATURES A SEPARATE BREAKFAST NOOK THAT OPENS TO A LOVELY PRIVATE COURYYARD.",Townhouse,2017,Forced air,Central,Attached Garage,No Data,270 Days,$195,23,New Construction,2nd Level,2nd Level,Not Applicable,

847 Pinehurst Ln,"Schaumburg, IL 60193","$285,000",:,"The new front door greets you at this move-in ready home. Very clean, freshly painted, new carpet, and ready to entertain and have fun with family and friends, all 4 seasons from the 2 tier deck in fenced yard, to the cozy fireplace. Not 1, not 2, but 3 skylights keep this home, light and bright. All windows are upgraded. Lower  level has extra room for guests, office, crafts, anything. After the fun, relax in your jacuzzi tub. You can be the smart buyer that snaps up this best valued home for yourself. Be the envy of your friends. If a pictures are worth a thousands words, then seeing it in real time, in person, is worth every minute you take to view your new home today. So much value here. So easy to move in and and make 847 Your new address, and easy to remember. If your a smart buyer call and make an appointment right now to see this fresh, clean, value packed home.",Single Family,1976,No Data,Central,Attached Garage,"6,838 sqft",46 Days,$158,25,For Sale,Lower,Main Level,Main Level,Skylight

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

411 W Weathersfield Way,"Schaumburg, IL 60193","$244,900",:,"This is a cozy way to start!  The full brick wall, gas log fireplace will warm the whole house and your heart!  This Salem ranch is situated on a quiet corner lot across the street from Woodstock Park!  There's a 2 car attached garage to park the cars and provide storage!  The private, fenced patio will you allow you to unwind peacefully!  No sense renting when you can own this affordable home!  Schedule your showing now!",Single Family,1971,Forced air,Central,Attached Garage,"9,718 sqft",95 Days,$215,20,For Sale,Main Level,Not Applicable,Main Level,Asphalt

709 Merlin Dr,"Schaumburg, IL 60193","$324,900",:,"Huge Price Reduction!!! Best value in Lancer Park subdivision.  New roof, freshly painted, and new flooring throughout on this spacious 3 bedrooms with hardwood floors & 2 1/2 updated bathrooms including Master Bath. Sunny & airy eat-in kitchen with white quartz counter tops, waterfall sink,  pull out drawers & the latest model Stainless Steel appliances.  Bright Family Room with cozy fireplace. This home features a custom build  Office/Man Cave in the backyard with electric, cable TV, insulated, heated and cooled. Enjoy entertaining in the large,outdoor oasis with a new concrete patio surrounded by perennials as well as an outdoor fire pit. Custom build tree house with a slide out, perfect for child entertainment.  Convenient 2 car attached garage, heated and cooled.  Prestigious School District 54 (Collins Elementary) & District 211 (JB Conant High School). Close to Woodfield Mall, library, shopping, expressways & train station",Single Family,1970,Forced air,Central,2 spaces,"8,498 sqft",137 Days,$171,53,For Sale,Main Level,Not Applicable,Main Level,

2821 Belle Ln,"Schaumburg, IL 60193","$230,000",:,"Gorgeous end unit town home with new granite counters, stainless steel sink, faucet and a one year old microwave.  All stainless steel appliances stay for new buyers.  Two story living room with huge wood burning fireplace.  Kitchen has pantry and lots of cabinets.  Huge 16 inch tiles for foyer, 1/2 bathroom and kitchen.  Vaulted ceiling in master bedroom and master bathroom has 2 sinks and nice shower.  New toilet in the upstairs hall bathroom. Complex has 2 outdoor pools, clubhouse and walking paths.",Townhouse,1995,Forced air,Central,2 spaces,No Data,62 Days,$139,32,For Sale,2nd Level,2nd Level,Not Applicable,Barbecue Area

1234 Sandhurst Ct # C,"Schaumburg, IL 60193","$169,500",,"TAKE A LOOK AT THIS SHARP FIRST FLOOR COACH HOME IN GREAT LOCATION!! FRESHLY PAINTED AND NEW HARDWOOD LAMINATE FLOORING THROUGH OUT SO YOU CAN MOVE RIGHT IN! BRAND NEW FURNACE AND HOT WATER HEATER! NEWER PELLA WINDOWS, EAT IN KITCHEN WITH LARGE PANTRY AND NEWER APPLIANCES. SPACIOUS LIVING AND DINING AREAS, SEPARATE UTILITY ROOM WITH WASHER/DRYER, ATTACHED GARAGE AND MORE! UPDATED BATH WITH CERAMIC TILE. TWO SETS OF SLIDING GLASS DOORS LEAD TO PRIVATE PATIO OVERLOOKING OPEN AREA. LOW ASSOCIATION FEE INCLUDES POOL AND CLUBHOUSE! FABULOUS LOCATION CLOSE TO EXPRESSWAYS, SHOPPING & MORE!",Condo,1978,Forced air,Central,Attached Garage,$99/month,8 Days,No Data,11,For Sale,Main Level,Not Applicable,Not Applicable,Asphalt

1210 Champlaine Ct,"Schaumburg, IL 60193","$409,900",:,"WINDSOR MODEL AVAILABLE IN DESIRABLE KINGSPORT EAST! 4 BEDROOMS,2.5 BATHS! FRESHLY PAINTED THROUGH OUT! ONE OF THE BEST LOCATIONS IN THE SUB DIVISION , LOCATED ON INTERIOR CUL DE SAC STREET. LARGE EAT IN KITCHEN , INCLUDES  NEW SS APPLS, NEW GRANITE COUNTERS , NEW GLASS TILE BACK SPLASH, NEW SS 50/50 UNDER COUNTER SINK, NEW AMERICAN STANDARD PULL DOWN FAUCET, NEW BADGER 500 1/2 HP DISPOSAL, & LOVELY BAY WINDOWED EATING AREA. CUSTOM FRENCH DOORS IN LIVING ROOM OPEN INTO LARGE FAMILY ROOM COMPLETE WITH THEATER LIGHTING. NEW BEAUTIFUL LAMINATE FLOORING IN KITCHEN, FAMILY ROOM, LAUNDRY ROOM AND 1/2 BATH. NICE SIZE FIRST FLOOR LAUNDRY ROOM , WITH ADDITIONAL CABINETS, COUNTER TOP AREA AND ACCESS TO BACK YARD.   BASEMENT HAS FINISHED REC ROOM, LARGE WORK SHOP PLUS UNFINISHED SPACE, PERFECT FOR EXTRA STORAGE! NEW ROOF AND GUTTERS 2017! NEW HWH AND SUMP PUMP! NEW GARAGE DOOR & OPENER! AWARD WINNING SCHAUMBURG SCHOOLS! FREDERICK NERGE ELEMENTARY SCHOOL, MARGARET MEAD JR HIGH AND JB CONANT HS..",Single Family,1984,Forced air,Central,2 spaces,"8,751 sqft",224 Days,$164,6,For Sale,,MARGARET MEAD JUNIOR HIGH SCHOOL,J B Conant High School,Asphalt

2509 Lawn Ct,"Schaumburg, IL 60193","$379,900",:,"PRICED TO SELL!!!! Rarely available charming home in this quiet neighborhood cul-de-sac. This home is completely remodeled from top to bottom,  The first floor is an open concept that so many buyers desire.  New kitchen with custom white soft close cabinets, crown molding detail w/ under cabinet lightning.  Quartz countertops, new SS appl., with peninsula.  New hardwood floors t-out the entire home.  LR, dining & kitchen have beautiful bright vaulted ceiling letting in natural light in. FR has a gorgeous show piece fireplace. with double sliding doors to a 2 story deck perfect for entertaining. Top of the line custom bathrooms with added personal touches such as bluetooth radio. Spacious BDRM including a huge master w/walk in closet, and an elegant private bath!  New light fixtures throughout the entire house & outdoors. Beautiful basement for entertaining w/custom bar,wine rack. New furnace/AC, electric, plumbing, newer roof, windows,siding. Top rated 54/211 school",Single Family,1985,No Data,Central,Attached Garage,"8,890 sqft",127 Days,$167,31,For Sale,2nd Level,2nd Level,Not Applicable,Asphalt

987 Westchester Cir,"Schaumburg, IL 60193","$169,900",:,"Perfect opportunity to be in the most amazing location with the best access to everything! End unit with new carpeting, freshly painted, fireplace with hearth-warming moments, private patio, laundry room with great extra storage area, huge walk in closet for master bedroom, garage attached, extra parking for guests, kitchen with more than sufficient storage and great natural light! Positioned in the best place in the complex, you overlook the open green space with no neighbors! All you need to do, is ...open the door and move your furniture in!",Townhouse,1985,Forced air,Central,Attached Garage,No Data,32 Days,$174,7,For Sale,Main Level,Not Applicable,Not Applicable,

915 Westfield Ln,"Schaumburg, IL 60193","$325,000",:,"This 2-Story Townhome has 3 Bedrooms, 3.5 Bathrooms, Finished Basement with Full bathroom, and a 2 Car Garage! Open Floor Plan Kitchen, Family Room with Cozy Fireplace! A Great Kitchen with Tons of Counter Space, Island, Cabinets and Samsung Stainless Steel Package.  Upstairs has a Large Master with a Full 5 Piece Bathroom and Large Master Closet. The other 2 Bedrooms are Really Good Size. Natural Light Fills this Home Throughout the day! Kitchen Overlooks a Private Yard with a Large Deck with Plenty of Room to Entertain and BBQ. Additionally, Home is Located in a Clubhouse Community and Has a Large Outdoor Pool, Party Room, and Greenspace. This Homes Convenient Location to Expressways, Grocery and Restaurants Makes this Subdivision very desirable. Let's Not Forget the Great Schools.",Townhouse,1999,No Data,Central,2 spaces,"2,970 sqft",217 Days,$174,15,For Sale,2nd Level,2nd Level,Not Applicable,Pool

809 Westfield Ln,"Schaumburg, IL 60193","$349,900",:,"Spacious 2 story home with a four season sun room. Wood laminate floors in the living, dining, & family rooms. Bright living room with a big bay window. Formal dining room. Recently remodeled eat-in kitchen with beautiful white cabinets, quartz counter tops, subway tiled back splash, breakfast bar, new range hood, & stainless steel appliances. Family room overlooks the kitchen featuring a gas log brick fireplace, built-ins, and a projector movie screen. French doors lead out to the 400 square foot heated sun room with walls of windows. The second floor offers a huge master suite with a walk-in closet, dressing area, & a full bathroom. The 3 other good size bedrooms all have double closets. 1st floor laundry room. Roof new in 2017. 2 car attached garage. New front stoop. Fenced in backyard with a brick paver patio and gardening area. Close to shopping, metra train, & expressway. Just move right in and enjoy!",Single Family,1976,Forced air,Central,Attached Garage,"7,501 sqft",78 Days,$132,21,For Sale,2nd Level,2nd Level,2nd Level,Asphalt

445 Birmingham Ln,"Schaumburg, IL 60193","$810,000",:,"One of the best locations in Lion's Gate on the pond!  Beautiful view of lit fountains, 20x20 Trex deck, direct access to walking path and impeccable landscaping all on a private cul de sac.  The inside features a luxurious master suite, floor to ceiling brick fireplace in the family room, deep pour (9' ceilings) basement, 3 car garage, extra large kitchen and a completely open floor plan which is perfect for entertaining.  Original owner has beautifully maintained this home.  Move in ready!  We would love to show you our home. Please call us at (847) 997-7137",Single Family,2005,Forced air,Central,3 spaces,0.28 acres,115 Days,$209,5,For Sale By Owner,,Single Family,,Asphalt

812 Stamford Ct,"Schaumburg, IL 60193","$309,900",:,"Fully Remodeled *Open Concept* RANCH Home with 3 bedrooms and 2 full baths! Great curb appeal! Everything has been done in this meticulously maintained home. New roof & siding 2017. New wood-look tile flooring, new bathrooms, SS appliances, upgraded electric & mechanicals, new attic insulation, trim & paint in 2015. Beautifully upgraded Kitchen with granite tops and stone backsplash. Separate Master Bath with large custom shower and gorgeous porcelain tile. Family Room offers wood burning fireplace and large sliding patio door overlooking expansive rear yard and *open space behind home*. Located at end of a quiet cul-de-sac in a great neighborhood. Concrete drive and stamped concrete front patio welcome you home. Wonderful location near parks, schools, train, expressways and shopping.",Single Family,1972,Forced air,Central,2 spaces,"10,563 sqft",29 Days,$217,53,For Sale,Main Level,Not Applicable,Main Level,Asphalt

1136 Bradford Ln,"Schaumburg, IL 60193","$279,900",,"BEAUTIFUL CURB APPEAL ON THIS POPULAR WELL-MAINTAINED HOME LOCATED IN QUIET SCHAUMBURG NEIGHBORHOOD! NEWLY REFINISHED HARDWOOD FLOORS IN BEDROOMS! HARDWOOD UNDER CARPET IN LIVING ROOM, DINING ROOM & HALLWAY! ALL MAJOR SYSTEMS HAVE BEEN REPLACED: NEW: ROOF AND LEAFGUARD GUTTERS (2016), . FURNACE(2014),AC(2013),WATER HEATER(2015). VINYL SIDING,WINDOWS AND DOORS HAVE ALL BEEN REPLACED, MASTER BATH HAS BEEN UPDATED WITH SOLID SURFACE SHOWER SURROUND. HOME NEEDS KITCHEN UPDATING AND CARPET REPLACEMENT BUT ALL THE BIG STUFF IS ALREADY DONE! RELAX ON THE HUGE COVERED DECK OVERLOOKING A WELL MANICURED LAWN AND FLOWER GARDEN. ONLY 4 MINUTES TO TRAIN AND I390. PRICED FOR ACTION!",Single Family,1965,Forced air,Central,Attached Garage,"9,761 sqft",71 Days,$236,8,For Sale,,JANE ADDAMS JUNIOR HIGH SCHOOL,Schaumburg High School,Asphalt

116 Barrett Ln,"Schaumburg, IL 60193","$299,999",,"Bank owned property! Sold As-Is condition. Nice 4 bedrooms including lower level one with few steps down of main level, 2 bathrooms with many recent improvements including a new furnace, AC, some copper pipes replacement, paint, carpet and much more. Formal dining room, hardwood floors and a new carpet. Deck and large green back yard. Nice wide driveway leads to 3-brick car garage. Close to everything: parks, library, pool and public transportation. Easy access to major roads, shops and expressways.",Single Family,1977,Forced air,Central,Detached Garage,"8,751 sqft",42 Days,$237,15,,Lower,2nd Level,2nd Level,Brick

808 Vassar Ln,"Schaumburg, IL 60193",,,"Investor opportunity! This property is being offered at Public Auction on 01-24-2019. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 105 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 1 properties scheduled for sale in Cook County and 2669 throughout Illinois. All properties and sale details can be found with a simple search at Auction.com. Create a FREE account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2690508 into the search bar at Auction.com",Single Family,1968,Forced air,Central,2 spaces,"10,454 sqft",,,,,,Single Family,Schaumburg High School,"10,454 sqft"

1650 Grove Ave UNIT C,"Schaumburg, IL 60193","$210,000",:,"Wishing for neutral colors & traditional finishes?? Then keep searching because you won't find it here! WELCOME to this sleek, meticulously maintained ""Coventry"" model in sought after Briar Pointe. Quiet cul-de-sac w/private entry, 2nd floor loft-feel OPEN FLOOR PLAN w/refined UPGRADES THROUGHOUT! Stately vaulted ceilings w/skylights & oversized windows allowing for impeccable NATURAL LIGHT? Architect-inspired designer painted walls are tastefully located within each room. Dining room offers secluded balcony covered w/blooming trees. Chef's kitchen includes handcrafted stone countertop, stainless steel appliances, custom stainless steel backsplash, 18"" ceramic tile flooring, deep stainless steel double sink w/pullout faucet, custom LED lighting system above cabinets. Master BR with en-suite & walk-in closet. Both bathrooms have vintage vanity lighting & wide-plank waterproof flooring! MOTIVATED SELLER invites YOU to come see what you've really been wishing for!",Condo,1996,Forced air,Central,Attached Garage,$212/month,39 Days,$165,6,For Sale,2nd Level,2nd Level,Not Applicable,Asphalt

587 Coveside Ln,"Schaumburg, IL 60193","$434,900",:,"Lakefront Property.  Two-story, four bedroom, 2 1/2 bath updated colonial home on Spring Cove Lake.  Huge patio, finished basement, fireplace, balcony off of master bedroom.  Oversized 2-car garage with expanded 3-car, concrete driveway.    Home backs to private, park-like setting.  Walk around the lake, enjoy relaxing views from the spacious patio.  A secluded place with an abundance of amenities nearby.    Quick, easy access to Metra, expressways, shopping.  Grade school a block away, junior high school nearby, Schaumburg High School.  Village park a few doors down with paths for walking/biking.  Schaumburg library 5 minutes by car, 10 minutes by bike.  Woodfield Mall 15 minutes.",Single Family,1978,Forced air,Central,2 spaces,"10,402 sqft",43 Days,$181,3,For Sale,2nd Level,2nd Level,2nd Level,Asphalt

314 E Weathersfield Way,"Schaumburg, IL 60193","$359,999",:,"LANCER PARK LOCATION OF SCHAUMBURG. GORGEOUS HOME MOVE-IN CONDITION. RECENTLY REMODELLED. 3 BEDROOMS AND 2.5 BATHROOMS, LARGE FAMILY ROOM, 2 CAR ATTACHED GARAGE WITH OPENERS AND PARTIAL BASEMENT. LARGE MASTER BEDROOM SUITE WITH FULL BATH AND WALK-IN CLOSET. BRAND NEW KITCHEN WITH 42"" CABINETS, GRANITE COUNTER TOP, ISLAND AND BRAND NEW STAINLESS STEEL APPLIANCES. BRAND NEW HARWOOD, CERAMIC AND CARPETED FLOORS. FRESHLY PAINTED. HIGH EFFICIENCY FURNACE, HUMIDIFIER AND ELECTRONIC FILTER. 72 GALLON WATER HEATER. LARGE PATIO AND CEMENT DRIVE WAY. MINUTES FROM MEINEKE POOL RECREATION CENTER, HUGE PARK, WOODFIELD MALL AND MAJOR EXPRESSWAYS SCHOOL COLLINS, FROST AND CONANT.",Single Family,1969,Forced air,Central,2 spaces,"10,079 sqft",343 Days,$161,5,For Sale By Owner,2nd Level,2nd Level,Not Applicable,Asphalt

1515 Illinois St,"Schaumburg, IL 60193","$549,000",:,"IMPECCABLY CRAFTED CUSTOM RANCH! This luxurious brick home is sure to impress! Enjoy being greeted by an expansive circular driveway with elegant fountain! Notice how the high ceilings throughout give a truly spacious feel to this sprawling home! Enjoy the OPEN CONCEPT EAT-IN-KITCHEN featuring SS appliances, 42"" cabinetry, granite counters & table! Adjacent family room & massive formal dining room are perfect for large gatherings! WALK-OUT BASEMENT features a 2ND KITCHEN, FULL BATH, & BEDROOM; making for an ideal IN-LAW SUITE! Spend summers on your spacious deck & large private patio! Enjoy the option of 3 MAIN FLOOR MASTER SUITES- each with ample closet space! Convenient main floor office offers an OPTIONAL 5TH BEDROOM! Property boasts stunning floors, Anderson windows, Kholer brand bathrooms, Sandstone vanities, relaxing master whirlpool, & more! Need even more space? The extra-tall attic offers room for a 2nd story! Near shopping, highways & Metra! HIGHLY RATED SCHOOLS & LOW TAXES!",Single Family,1999,Forced air,Central,Attached Garage,0.31 acres,112 Days,$203,6,For Sale,Walkout Basement,Main Level,Main Level,Intercom

1059 Mohegan Ln,"Schaumburg, IL 60193","$208,000",:,"Contact Amanda 309-335-0873
This beautiful and well maintained ranch is located in the family-friendly, desirable Weathersfield South Area, on a quiet street, close to 390, 290 and 355.  Neutral and fresh decor/paint throughout, perfect for YOUR style. The home has carpet, Pergo laminate and ceramic tile floors, eat in kitchen and formal dining room or can be used as a large office.  2 bedrooms with double mirrored closets, 2 full baths and laundry room with W/D to go with home; everything on one floor, no stairs! The kitchen features laminate floors, laminate counters, tiled backsplash, stainless steel appliances and a breakfast nook/eat in dining. Appliances stay with the home and there is a security system. The master bedroom features carpet floors, a conventional ceiling, and the attached master bath includes tile floors, solid surface counters and one piece shower. Outside you'll find a patio, great for grilling and a large area in back. Exterior features include a raised garden, abundance of perennials and has swimming pool access. Schaumburg fire, police & schools.  Easy, convenient & affordable living at its best!

Many updates incl: 95%Energy Eff. Furn/Humid/A/C/humififier/Tankless HWT/Windows/Doors/Roof/Siding/Sliders",Townhouse,1976,Forced air,Central,2 spaces,"2,992 sqft",232 Days,$177,14,For Sale By Owner,,Townhouse,SCHAUMBURG HIGH SCHOOL,Asphalt

1008 Shannock Ln,"Schaumburg, IL 60193","$184,900",:,NO STAIRS! RANCH STYLE DUPLEX WITH 2 CAR GARAGE! GREAT WEATHERSFIELD SOUTH LOCATION! POPULAR FLOOR PLAN WITH GENEROUS ROOM SIZES. SO QUIET WITH NO NEIGHBORS ABOVE. PRIVATE COURTYARD STYLE ENTRY TOO! LARGE EAT IN KITCHEN W/BIG PANTRY CLOSET. HIGHLY RATED SCHAUMBURG SCHOOLS AND PARK DISTRICT! VERY CLEAN AND WELL MAINTAINED UNIT BUT PRICE DOES REFLECT NEED FOR UPDATING (COSMETIC). NO KNOWN DEFECTS (OTHER THAN MICROWAVE) BUT BEING SOLD AS IS. NOTE: TAXES DO NOT REFLECT ANY EXEMPTIONS.,Condo,1977,Forced air,Central,Attached Garage,$184/month,56 Days,$142,13,For Sale,Main Level,Not Applicable,Not Applicable,Asphalt

715 Greenbriar Ln,"Schaumburg, IL 60193","$649,000",:,"Supreme Living at its Finest! Location, Condition & Price all meet in this outstanding, all Brick 4-5 Bedroom, 2 story with Full Finished Basement set back on a prime 1/2 acre fenced yard! Custom Built by Carey Builders as his family's own private residence. So, careful attention to quality & detail would be an understatement! Well maintained by current owners! Custom Paint. Recessed Lighting. Solid Wood Doors. Designer Tray-Ceilings. First Floor Den & Full Bath. 2-story Foyer. Large, Cozy Family Rm w/Vaulted Ceiling, Bay Window & Fire Place! New, Premium, $30,000 Roof & Gutters! Brand new Carpet in Living/Dining Rooms, Staircase & Hallway. Hardwood Floors Refinished, 2014. New in 2015: All Windows rear of house, Dishwasher, Microwave & High efficiency, On Demand Hot Water Heater! Washer & Dryer, 2010. High-end Finished Basement w/bath completed 10 years ago-- Sealed Concrete Walls, 1 Styrofoam & vapor-barrier was used. Lots of extra storage! 3 Car Garage & Circular Driveway!",Single Family,1998,Forced air,Central,3 spaces,0.51 acres,281 Days,$170,10,For Sale,,Single Family,J B Conant High School,Asphalt

120 Cotuit Ct # 120,"Schaumburg, IL 60193","$164,000",:,"This newly renovated 2 bedroom, 1 bathroom condo in Schaumburg is an investor's dream! Cash flowing DAY 1! Features include: Quartz Countertops, Open Concept Layout, Large Closet Space, Washer/Dryer, and One-Car Garage. Smart Features include: Energy Star Rated Stainless Steel Appliances, LED Lighting, WaterSense Plumbing Fixtures, Smart Thermostat and Keyless Locks, which can save you more than $500 a year! Tenants will enjoy a bright and airy unit facing open landscape. Add this condo to your portfolio, this property won't last!",Condo,1975,No Data,Central,Attached Garage,$160/month,29 Days,$143,12,For Sale,2nd Level,2nd Level,Not Applicable,Brick

302 Hickory Ln,"Schaumburg, IL 60193","$369,900",:,"Stunning renovated modern home in the desirable Timbercrest Subdivision. A remarkable 4 bedroom, 2 bath home offering 3 levels of living. Walk into the entryway/foyer into a impressive open concept. Living room with vaulted ceiling opens to dining room. Walk into your kitchen and grab that cup of coffee and walk out onto your very large deck. Master bedroom with gorgeous master bath, bedroom #2 and bedroom #3 located on the upper level. Alternatively, from your entryway walk down to your family room with your modern subway tile full bath, slider patio doors...enjoy your evening with a glass of Cabernet. Lower level you will find your 4th bedroom, in-law suite or guest bedroom. This inviting homes features windows that flood the rooms with natural light. Every bathroom looks like it came out of a luxury home magazine. Stunning new flooring, new stainless steel appliances, and new carpeting. Beautifully-landscaped, highly-rated Schaumburg School District 54/211.",Single Family,1968,Forced air,Central,4 spaces,"8,786 sqft",63 Days,$192,44,For Sale,Lower,2nd Level,2nd Level,

814 Stamford Ct,"Schaumburg, IL 60193","$334,900",:,"ONE-OF-A-KIND spacious ranch with wide open floor plan and high end finishes. Impressive kitchen with newer cabinets, black pearl granite counter tops, custom wine rack, vaulted skylight and stainless steel appliances. Bamboo flooring throughout entire home with the exception of the bedrooms which have a plush carpet. Stone fireplace with custom built mantle. Solid brick addition with vaulted wood plank ceilings that makes up the large great room leading to the 3-season's room. Upgraded 5"" baseboards and crown molding throughout home and a custom oak built-in closet and wainscoting. Spa-like bathroom with stone walls, whirlpool tub and vaulted ceiling with skylight. Fresh paint and custom faux finishes throughout home give each room a unique look and feel.   Complete exterior renovation with insulated vinyl siding, stone veneer, oversized gutters, trim and new designer roof with transferrable warranty was just replaced in spring. Professional landscape design surrounds the home.",Single Family,1974,Forced air,Central,Attached Garage,"7,309 sqft",132 Days,$197,11,For Sale,Main Level,Not Applicable,Not Applicable,Asphalt

1803 Grove Ave,"Schaumburg, IL 60193","$195,000",:,"Beautiful well maintained 2 bed rm town house with neutral u carpet,oak rails,white 6 panel doors & trim oak cabinets.Huge living rm and dining rm combo. Fully renovated brand new kitchen with breakfast bar table space & pantry.Stainless steel appliances!!Master suite with cathedral ceiling & private bath and walk-in. Three ceiling fans.All appliances included. Brand new carpet in whole house!!.",Townhouse,2009,No Data,Central,1 space,No Data,121 Days,No Data,20,For Sale,2nd Level,2nd Level,Not Applicable,

400 Ashwood Dr,"Schaumburg, IL 60193","$369,900",:,"This popular Timbercrest Kimberly unfolds over three levels.  The main level features the most comfortable living spaces. A vaulted ceiling over the expansive living room makes the room large and inviting. Also on the main level is an oversized family room anchored by a brick fireplace. Sliding doors lead from the family room to the back-yard patio. The second level features the working heart of the home. A bright and open dining room overlooks the living room. A spacious kitchen includes plenty of space for a kitchen table, plus sliding doors to a convenient deck. Warm oak cabinetry and the convenient table area make the kitchen perfect for informal gatherings. The third level is home to the master bedroom with a private full bathroom and large closet. Three additional bedrooms on the upper level share an updated full bath. A sub-basement contains the laundry area and offers lots of options. Near Town Square in the heart of Schaumburg, award winning elementary and high school district",Single Family,1974,Forced air,Central,2 spaces,"8,803 sqft",126 Days,$173,4,For Sale,3rd Level,3rd Level,3rd Level,

1032 W Point Dr,"Schaumburg, IL 60193","$450,000",:,"PRIDE OF OWNERSHIP Boasts Through this Windsor model In the Desirable Kingsport East subdivision! PURE SOLID OAK FLOORS BEAMING throughout the Home! Large Welcoming Foyer leading to a Gorgeous, Spacious and Bright Living Room and Flowing to the large Family Room with a New ""Custom"" Open layout! 3 Levels of Living w/Full Finished Basement featuring a 2nd Kitchen & Full Bath, Offering over 3000 SQ FT Of Total Living Space! Enjoy all the generous size bedrooms, large enough to fit full size furniture! Remodeled Kitchen and bathrooms featuring beautiful Granite Countertops! NEW IN 2017- A TWO STAGE FURNACE, A/C, Roof, Gutters, Spouts & Garbage disposal. Water Heater (3yrs), Refrigerator (2yrs), Siding (5-7 yrs). Ample Storage throughout! This home is CONVENIENTLY LOCATED close to Shopping, Entertainment, Restaurants along with Easy access to Expressway, Metra. Just 10 Mins from Woodfield Mall. Walking distant to Park and Tennis Courts. ALL AWARD WINNING SCHOOLS! Truly this home has it ALL!",Single Family,1981,Forced air,Central,Attached Garage,"8,868 sqft",49 Days,$180,13,For Sale,2nd Level,2nd Level,2nd Level,

103 Westover Ln,"Schaumburg, IL 60193","$275,000",:,"BEAUTIFUL RANCH WITH GREAT CURB APPEAL, 4 BEDROOM, 2 FULL BATH, SITTING ON AN OVER SIZED LOT. LARGE FAMILY ROOM.  MOST OF THIS HOME HAS BEEN UPDATED IN THE LAST 3-4 YEARS.  UPDATED BATHROOMS, NEW CARPET AND FRESH PAINT, HW HEATER NEW, ANDERSON WINDOWS 3-4 YEARS OLD, SIDING 3-4 YEARS OLD.  MUST SEE!",Single Family,1958,Forced air,Central,2 spaces,0.32 acres,122 Days,$170,9,For Sale,,Single Family,Ranch,Shake/Shingle

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,

